(0, 'Commander', 'frontier', 'economy', 'accessible', 'direct') start 5 74 branches 10
(0, 'Commander', 'elderwild', 'economy', 'accessible', 'direct') start 5 62 branches 11
(0, 'Commander', 'elderwild', 'economy', 'standard', 'direct') start 6 63 branches 11
(0, 'Commander', 'elderwild', 'economy', 'challenge', 'direct') start 7 96 branches 11
(0, 'Commander', 'ruins', 'economy', 'accessible', 'direct') start 5 66 branches 12
(0, 'Commander', 'ruins', 'economy', 'standard', 'direct') start 6 104 branches 10
(0, 'Commander', 'ruins', 'economy', 'challenge', 'direct') start 7 151 branches 10
(0, 'Warrior', 'frontier', 'economy', 'accessible', 'direct') start 5 109 branches 11
(0, 'Warrior', 'frontier', 'economy', 'standard', 'direct') start 5 79 branches 12
(0, 'Warrior', 'elderwild', 'economy', 'accessible', 'direct') start 5 97 branches 11
(0, 'Warrior', 'elderwild', 'economy', 'standard', 'direct') start 5 67 branches 12
(0, 'Warrior', 'elderwild', 'economy', 'challenge', 'direct') start 7 120 branches 11
(0, 'Warrior', 'ruins', 'economy', 'accessible', 'direct') start 6 107 branches 11
(0, 'Warrior', 'ruins', 'economy', 'standard', 'direct') start 5 65 branches 12
(0, 'Warrior', 'ruins', 'economy', 'challenge', 'direct') start 7 158 branches 10
(0, 'Scout', 'frontier', 'economy', 'accessible', 'direct') start 5 109 branches 11
(0, 'Scout', 'frontier', 'economy', 'standard', 'direct') start 5 79 branches 11
(0, 'Scout', 'elderwild', 'economy', 'accessible', 'direct') start 5 97 branches 10
(0, 'Scout', 'elderwild', 'economy', 'standard', 'direct') start 5 67 branches 12
(0, 'Scout', 'elderwild', 'economy', 'challenge', 'direct') start 5 70 branches 11
(0, 'Scout', 'ruins', 'economy', 'accessible', 'direct') start 5 112 branches 10
(0, 'Scout', 'ruins', 'economy', 'standard', 'direct') start 5 65 branches 11
